respID,qID,altID,obsID,profileID,type,type2,price,weight,runtime,airspeed
1,1,1,1,235,gas,handheld,100,40,15,270
1,1,2,1,434,battery,backpack,80,8,15,270
1,1,3,1,158,gas,backpack,200,20,15,125
1,2,1,2,170,gas,backpack,80,8,60,125
1,2,2,2,492,battery,backpack,100,20,200,270
1,2,3,2,279,gas,handheld,275,20,200,270
1,3,1,3,465,battery,handheld,80,20,60,270
1,3,2,3,246,gas,backpack,200,8,60,270
1,3,3,3,67,plug-in,handheld,100,40,unlimited,270
1,4,1,4,413,battery,handheld,200,8,200,125
1,4,2,4,62,plug-in,backpack,200,20,unlimited,270
1,4,3,4,387,battery,handheld,100,8,60,125
1,5,1,5,462,battery,backpack,200,8,60,270
1,5,2,5,123,gas,handheld,100,8,200,50
1,5,3,5,439,battery,handheld,275,8,15,270
1,6,1,6,66,plug-in,backpack,80,40,unlimited,270
1,6,2,6,326,battery,backpack,200,20,60,50
1,6,3,6,389,battery,handheld,200,8,60,125
1,7,1,7,163,gas,handheld,100,40,15,125
1,7,2,7,493,battery,handheld,200,20,200,270
1,7,3,7,321,battery,handheld,80,20,60,50
1,8,1,8,159,gas,handheld,275,20,15,125
1,8,2,8,43,plug-in,handheld,100,40,unlimited,125
1,8,3,8,346,battery,backpack,80,20,200,50
2,1,1,9,355,battery,handheld,100,40,200,50
2,1,2,9,151,gas,handheld,275,8,15,125
2,1,3,9,473,battery,handheld,80,40,60,270
2,2,1,10,149,gas,handheld,200,8,15,125
2,2,2,10,73,gas,handheld,80,8,15,50
2,2,3,10,78,gas,backpack,200,8,15,50
2,3,1,11,192,gas,backpack,275,40,60,125
2,3,2,11,266,gas,backpack,80,8,200,270
2,3,3,11,275,gas,handheld,100,20,200,270
2,4,1,12,379,battery,handheld,100,40,15,125
2,4,2,12,221,gas,handheld,200,8,15,270
2,4,3,12,202,gas,backpack,80,20,200,125
2,5,1,13,61,plug-in,handheld,200,20,unlimited,270
2,5,2,13,60,plug-in,backpack,100,20,unlimited,270
2,5,3,13,425,battery,handheld,80,40,200,125
